Species	Site	Tree	Fruit	Head_Length_mm	Head_Width_mm	Thorax_Length_mm	Thorax_Width_mm	Abdomen_Length_mm	Abdomen_Width_mm	Ovipositor_Length_mm	Ovipositor_Width_mm	Forewing_Area_mm^2	Hindwing_Area_mm^2	Forewing_Length_mm
LO1	S96	T34	F4	0.430	0.517	0.897	0.394	1.176	0.710	5.811	0.026	0.999	0.171	1.869
SO1	S96	T34	F4	0.365	0.513	0.670	0.400	1.124	0.575	3.256	0.032	0.774	0.097	1.557
Het1	S96	T34	F4	0.566	0.698	0.767	0.494	1.288	0.504	0.376	0.098	1.339	0.294	2.122
SO2	S96	T34	F11	0.394	0.538	0.712	0.406	1.006	0.655	3.014	0.035	0.872	0.113	1.635
Het2	S96	T34	F11	0.497	0.607	0.781	0.487	1.248	0.601	0.686	0.048	0.836	0.213	1.810
LO1	S96	T36	F3	0.357	0.469	0.722	0.326	0.875	0.435	5.006	0.023	0.685	0.117	1.589
SO1	S96	T36	F9	0.361	0.483	0.624	0.385	1.095	0.550	3.133	0.026	0.696	0.087	1.470
SO2	S96	T36	F15	0.353	0.423	0.640	0.350	0.963	0.541	2.790	0.021	0.619	0.080	1.407
Het1	S96	T36	F8	0.505	0.607	0.784	0.527	1.059	0.430	0.274	0.072	0.890	0.195	1.765
Het2	S96	T36	F3	0.450	0.565	0.696	0.432	1.092	0.504	0.648	0.059	0.739	0.188	1.653
LO1	S113	T4M	F4	0.383	0.488	0.678	0.468	1.097	0.609	5.282	0.026	0.780	0.134	1.696
SO2	S113	T4M	F4	0.363	0.513	0.686	0.457	1.025	0.523	2.985	0.024	0.788	0.080	1.562
SO1	S113	T4M	F13	0.377	0.508	0.725	0.391	0.973	0.389	3.071	0.024	0.775	0.097	1.592
Het2	S113	T4M	F13	0.557	0.637	0.792	0.445	1.240	0.469	0.749	0.074	0.894	0.227	1.755
Het1	S113	T4M	F11	0.511	0.622	0.769	0.511	1.107	0.504	0.359	0.062	0.975	0.214	1.875
LO1	S113	T4N	F26	0.433	0.562	0.858	0.456	1.061	0.521	5.871	0.028	0.961	0.165	1.826
SO2	S113	T4N	F26	0.329	0.432	0.648	0.388	0.975	0.414	2.911	0.021	0.701	0.091	1.529
Het1	S113	T4N	F26	0.479	0.601	0.766	0.407	1.242	0.446	0.331	0.065	0.955	0.209	1.794
SO1	S113	T4N	F17	0.302	0.379	0.498	0.279	0.682	0.358	2.299	0.021	0.419	0.052	1.150
Het2	S113	T4N	F17	0.519	0.563	0.814	0.443	1.221	0.623	0.669	0.055	0.920	0.234	1.795
LO1	S172	T2	F7	0.402	0.527	0.823	0.438	1.266	0.777	5.583	0.028	0.821	0.141	1.613
SO2	S172	T2	F9	0.364	0.511	0.684	0.367	0.972	0.505	2.914	0.023	0.753	0.098	1.557
SO1	S172	T2	F6	0.324	0.472	0.656	0.346	0.855	0.612	2.995	0.023	0.652	0.081	1.420
Het1	S172	T2	F3	0.545	0.707	0.828	0.561	1.367	0.553	0.395	0.081	1.361	0.361	2.130
Het2	S172	T2	F13	0.430	0.530	0.621	0.372	1.034	0.546	0.631	0.074	0.684	0.252	1.565
LO1	S172	T6	F5	0.426	0.508	0.723	0.377	1.097	0.654	5.361	0.023	0.893	0.180	1.810
SO2	S172	T6	F3	0.355	0.446	0.598	0.377	0.984	0.565	2.724	0.021	0.638	0.091	1.471
SO1	S172	T6	F4	0.343	0.474	0.655	0.323	0.966	0.646	2.929	0.024	0.689	0.101	1.524
Het1	S172	T6	F7	0.525	0.651	0.852	0.590	1.408	0.618	0.350	0.085	1.150	0.308	1.981
Het2	S172	T6	F6	0.493	0.584	0.650	0.426	1.123	0.644	0.629	0.065	0.837	0.274	1.691
LO1	S172	T4	F6	0.374	0.489	0.780	0.351	1.049	0.598	5.369	0.025	0.820	0.178	1.702
SO2	S172	T4	F11	0.363	0.479	0.741	0.344	0.846	0.494	2.967	0.025	0.767	0.123	1.562
SO1	S172	T4	F14	0.357	0.521	0.678	0.440	0.989	0.620	3.291	0.027	0.713	0.101	1.516
Het1	S172	T4	F3	0.525	0.665	0.721	0.534	1.220	0.592	0.307	0.083	1.472	0.379	2.205
Het2	S172	T30	F7	0.504	0.602	0.749	0.473	1.175	0.633	0.712	0.047	0.959	0.329	1.765
LO1	S172	T30	F7	0.374	0.501	0.793	0.431	1.018	0.667	5.417	0.020	0.835	0.178	1.715
SO2	S172	T30	F24	0.341	0.463	0.675	0.389	0.941	0.503	2.745	0.027	0.652	0.098	1.454
SO1	S172	T30	F25	0.332	0.446	0.550	0.336	0.810	0.506	2.658	0.018	0.553	0.069	1.304
Het1	S172	T30	F8	0.524	0.655	0.842	0.516	1.318	0.537	0.304	0.068	1.163	0.315	1.922
Het2	S172	T30	F7	0.469	0.585	0.733	0.444	1.137	0.652	0.670	0.055	0.895	0.306	1.629
Het2	S172	T30	F21	0.515	0.618	0.746	0.555	1.178	0.617	0.605	0.070	0.907	0.309	1.788
LO1	S158	T6A	F5	0.412	0.525	0.765	0.432	0.986	0.573	5.591	0.027	0.892	0.183	1.769
Het1	S158	T6A	F5	0.527	0.628	0.637	0.614	1.133	0.468	0.351	0.062	0.993	0.303	1.785
SO2	S158	T6A	F7	0.402	0.539	0.715	0.467	1.031	0.681	2.973	0.021	0.866	0.144	1.638
SO1	S158	T6A	F14	0.379	0.519	0.707	0.394	0.995	0.561	3.406	0.030	0.740	0.121	1.562
Het2	S158	T6A	F9	0.453	0.543	0.617	0.350	1.097	0.617	0.645	0.049	0.689	0.234	1.588
LO1	S158	T29	F11	0.398	0.529	0.806	0.481	1.078	0.640	5.543	0.029	0.914	0.196	1.802
SO2	S158	T29	F27	0.298	0.406	0.579	0.328	0.887	0.439	2.560	0.025	0.565	0.085	1.346
SO1	S158	T29	F34	0.346	0.479	0.658	0.378	0.979	0.586	2.976	0.025	0.686	0.093	1.469
Het2	S158	T29	F16	0.436	0.537	0.675	0.385	0.971	0.522	0.602	0.048	0.690	0.252	1.562
Het1	S158	T29	F10	0.547	0.687	0.787	0.583	1.333	0.591	0.384	0.068	1.275	0.361	2.009
LO1	S70	T201	F19	0.402	0.494	0.728	0.382	1.004	0.509	5.335	0.018	0.803	0.162	1.690
Het1	S70	T201	F19	0.528	0.622	0.720	0.546	1.207	0.441	0.319	0.067	0.925	0.262	1.814
SO1	S70	T201	F1	0.347	0.459	0.652	0.328	0.917	0.498	2.817	0.021	0.744	0.107	1.532
SO2	S70	T201	F8	0.363	0.465	0.674	0.369	0.913	0.562	2.837	0.029	0.698	0.105	1.462
Het2	S70	T201	F5	0.440	0.543	0.636	0.422	1.072	0.508	0.595	0.045	0.673	0.221	1.581
LO1	S70	T56	F1	0.426	0.579	0.978	0.494	1.343	0.771	6.038	0.030	1.180	0.255	2.022
Het1	S70	T56	F1	0.600	0.688	0.907	0.634	1.512	0.591	0.385	0.069	1.482	0.429	2.243
SO1	S70	T56	F2	0.349	0.497	0.683	0.356	0.948	0.542	3.133	0.028	0.781	0.098	1.587
SO2	S70	T58	F6	0.336	0.459	0.641	0.380	0.872	0.512	2.883	0.026	0.713	0.104	1.531
LO1	S70	T58	F6	0.384	0.495	0.780	0.422	1.027	0.549	5.497	0.028	0.872	0.147	1.736
Het1	S70	T58	F6	0.528	0.645	0.807	0.437	1.197	0.517	0.360	0.082	0.946	0.313	1.901
Het2	S70	T58	F6	0.522	0.570	0.727	0.435	1.074	0.547	0.630	0.042	0.768	0.249	1.679
SO1	S70	T58	F7	0.359	0.471	0.633	0.332	0.918	0.553	3.000	0.028	0.680	0.107	1.476
LO1	S70	T38	F11	0.379	0.504	0.837	0.450	1.132	0.611	5.587	0.027	0.877	0.150	1.739
SO2	S70	T38	F11	0.335	0.467	0.569	0.402	0.922	0.536	2.668	0.022	0.628	0.079	1.458
SO1	S70	T38	F14	0.349	0.479	0.636	0.346	0.910	0.486	3.027	0.023	0.698	0.097	1.506
Het2	S70	T38	F5	0.520	0.593	0.780	0.473	1.189	0.542	0.710	0.070	0.883	0.285	1.823
Het1	S70	T38	F1	0.371	0.483	0.523	0.357	0.881	0.340	0.264	0.054	1.208	0.329	1.999
LO1	S96	T34	F7	0.311	0.385	0.872	0.454	1.221	0.746	5.882	0.030	1.010	0.224	1.957
SO2	S96	T34	F7	0.383	0.516	0.763	0.431	0.914	0.626	3.063	0.030	0.888	0.139	1.700
Het1	S96	T34	F6	0.520	0.631	0.816	0.519	1.235	0.528	0.381	0.080	1.073	0.271	1.938
SO1	S96	T34	F6	0.374	0.507	0.641	0.429	1.049	0.633	3.178	0.024	0.731	0.105	1.493
Het2	S96	T34	F1	0.525	0.608	0.793	0.467	1.262	0.697	0.712	0.051	1.243	0.463	1.821
LO1	S96	T36	F1	0.345	0.425	0.651	0.351	0.868	0.505	4.755	0.025	0.610	0.125	1.430
SO1	S96	T36	F1	0.344	0.493	0.658	0.439	1.090	0.594	3.133	0.021	0.764	0.108	1.541
Het2	S96	T36	F1	0.445	0.530	0.626	0.393	1.029	0.464	0.565	0.053	0.664	0.214	1.547
SO2	S96	T36	F2	0.316	0.420	0.585	0.341	0.853	0.378	2.639	0.024	0.636	0.092	1.378
Het1	S96	T36	F3	0.501	0.603	0.739	0.490	1.087	0.410	0.360	0.060	0.883	0.263	1.700
LO1	S113	T01	F2	0.395	0.514	0.885	0.478	1.240	0.620	5.513	0.023	0.889	0.187	1.752
SO1	S113	T01	F4	0.362	0.503	0.698	0.363	1.017	0.471	3.210	0.024	0.677	0.090	1.510
LO1	S113	T4M	F5	0.425	0.508	0.830	0.448	1.073	0.555	5.506	0.024	0.879	0.176	1.720
LO1	S113	T4M	F20	0.396	0.524	0.837	0.444	1.041	0.537	5.544	0.028	0.836	0.182	1.739
